genome_id	genome_name	taxon_id	antibiotic	resistant_phenotype	measurement	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_method_version	laboratory_typing_platform	vendor	testing_standard	testing_standard_year	source
562.144637	"""Escherichia coli """	562	amoxicillin/clavulanic acid		2		2	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	ampicillin		<=1	<=	1	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	azithromycin		2		2	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	cefoxitin		2		2	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	ceftriaxone		<=0.25	<=	0.25	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	chloramphenicol		<=2	<=	2	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	ciprofloxacin		<=0.015	<=	0.015	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	gentamicin		16		16	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	meropenem		<=0.06	<=	0.06	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	nalidixic acid		1		1	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	streptomycin		>64	>	64	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	sulfisoxazole		>256	>	256	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	tetracycline		>32	>	32	mg/L	MIC				CLSI	2018	
562.144637	"""Escherichia coli """	562	trimethoprim/sulfamethoxazole		<=0.12	<=	0.12	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	amoxicillin/clavulanic acid		4		4	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	ampicillin		2		2	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	azithromycin		2		2	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	cefoxitin		4		4	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	ceftiofur		0.25		0.25	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	ceftriaxone		<=0.25	<=	0.25	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	chloramphenicol		4		4	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	ciprofloxacin		<=0.015	<=	0.015	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	gentamicin		>16	>	16	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	nalidixic acid		2		2	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	streptomycin		>64	>	64	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	sulfisoxazole		>256	>	256	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	tetracycline		32		32	mg/L	MIC				CLSI	2018	
562.144676	"""Escherichia coli """	562	trimethoprim/sulfamethoxazole		<=0.12	<=	0.12	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	amoxicillin/clavulanic acid		2		2	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	ampicillin		2		2	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	azithromycin		2		2	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	cefoxitin		4		4	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	ceftriaxone		<=0.25	<=	0.25	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	chloramphenicol		4		4	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	ciprofloxacin		<=0.015	<=	0.015	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	gentamicin		>16	>	16	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	meropenem		<=0.06	<=	0.06	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	nalidixic acid		1		1	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	streptomycin		64		64	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	sulfisoxazole		>256	>	256	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	tetracycline		<=4	<=	4	mg/L	MIC				CLSI	2018	
562.144681	"""Escherichia coli """	562	trimethoprim/sulfamethoxazole		<=0.12	<=	0.12	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	amikacin		2		2	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	amoxicillin/clavulanic acid		8		8	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	aztreonam		<=0.12	<=	0.12	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	cefazolin		2		2	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	cefepime		<=0.25	<=	0.25	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	cefoxitin		4		4	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	ceftazidime		0.5		0.5	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	ceftazidime/avibactam		0.25		0.25	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	ceftolozane/tazobactam		0.25		0.25	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	ceftriaxone		<=0.25	<=	0.25	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	ciprofloxacin		>16	>	16	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	colistin		0.5		0.5	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	doxycycline		2		2	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	ertapenem		<=0.03	<=	0.03	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	fosfomycin		<=1	<=	1	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	gentamicin		32		32	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	imipenem		0.5		0.5	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	meropenem		<=0.03	<=	0.03	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	moxifloxacin		>16	>	16	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	nitrofurantoin		8		8	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	piperacillin/tazobactam		2		2	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	tigecycline		0.25		0.25	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	tobramycin		8		8	mg/L	MIC				CLSI	2018	
562.144712	"""Escherichia coli """	562	trimethoprim/sulfamethoxazole		<=0.12	<=	0.12	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	amoxicillin/clavulanic acid		8		8	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	ampicillin		>32	>	32	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	azithromycin		4		4	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	cefoxitin		2		2	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	ceftriaxone		<=0.25	<=	0.25	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	chloramphenicol		4		4	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	ciprofloxacin		<=0.015	<=	0.015	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	gentamicin		16		16	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	meropenem		<=0.06	<=	0.06	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	nalidixic acid		1		1	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	streptomycin		>64	>	64	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	sulfisoxazole		<=16	<=	16	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	tetracycline		>32	>	32	mg/L	MIC				CLSI	2018	
562.144725	"""Escherichia coli """	562	trimethoprim/sulfamethoxazole		<=0.12	<=	0.12	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	amikacin		<=1	<=	1	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	amoxicillin/clavulanic acid		8		8	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	aztreonam		<=0.12	<=	0.12	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	cefazolin		1		1	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	cefepime		<=0.25	<=	0.25	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	cefoxitin		1		1	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	ceftazidime		<=0.25	<=	0.25	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	ceftazidime/avibactam		<=0.06	<=	0.06	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	ceftolozane/tazobactam		<=0.12	<=	0.12	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	ceftriaxone		<=0.25	<=	0.25	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	ciprofloxacin		<=0.06	<=	0.06	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	colistin		0.25		0.25	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	doxycycline		8		8	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	ertapenem		<=0.03	<=	0.03	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	fosfomycin		2		2	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	gentamicin		32		32	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	imipenem		0.12		0.12	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	meropenem		<=0.03	<=	0.03	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	moxifloxacin		<=0.06	<=	0.06	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	nitrofurantoin		16		16	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	piperacillin/tazobactam		<=1	<=	1	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	tigecycline		0.5		0.5	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	tobramycin		2		2	mg/L	MIC				CLSI	2018	
562.144781	"""Escherichia coli """	562	trimethoprim/sulfamethoxazole		>8	>	8	mg/L	MIC				CLSI	2018	
